chr	start	stop	window	rec_rate	n_indels	n_ins	n_del	n_ins_sub	n_del_sub
chr15	4000000	6000000	53	4.32235689408	2554	767	981	2558	4674
chr15	6000000	8000000	54	3.20746520563	2081	639	800	2320	4263
chr15	8000000	10000000	55	2.08662583748	2046	636	823	2616	4852
chr15	10000000	12000000	56	1.33391572913	1890	585	778	2780	5477
chr15	12000000	13820886	57	0.797206631233	1681	342	442	1692	3464
chr19	0	2000000	70	6.39023153271	2500	653	861	2922	7904
chr19	2000000	4000000	71	5.74770645965	2449	648	885	2844	5367
chr19	4000000	6000000	72	5.23079998299	2500	738	948	2773	4704
chr19	6000000	8000000	73	4.67258400841	2423	745	950	2726	4609
chr19	8000000	9871655	74	4.24366691044	1681	414	589	2611	3990
chr1A	0	2000000	75	2.71616988852	2401	331	399	1088	1680
chr1A	2000000	4000000	76	2.47052276538	2688	876	1106	2410	4717
chr1A	4000000	6000000	77	2.13854466254	2699	827	1192	2649	5170
chr1A	6000000	8000000	78	1.78207832291	2764	795	1230	2595	5300
chr1A	8000000	10000000	79	1.43600670122	3204	428	647	3113	6185
chr1A	10000000	12000000	80	1.21362252071	2349	327	353	2875	5978
chr1A	12000000	14000000	81	0.978643951135	1475	444	648	2810	5498
chr1A	14000000	16000000	82	0.753899994316	2172	643	899	2885	5611
chr1A	16000000	18000000	83	0.569202716247	2588	779	1015	2933	5758
chr1A	18000000	20000000	84	0.388744952397	2102	623	845	2908	5504
chr1A	20000000	22000000	85	0.246646521848	2390	679	996	2867	5580
chr1A	22000000	24000000	86	0.125146143968	2206	633	866	2792	5254
chr1A	24000000	26000000	87	0.0288299041686	2258	699	867	2956	5172
chr1A	26000000	28000000	88	0.0	2716	594	769	2132	3920
chr1A	28000000	30000000	89	0.0	2504	755	1041	2927	5392
chr1A	30000000	32000000	90	0.0	2434	731	967	2972	5379
chr1A	32000000	34000000	91	0.0	2187	680	879	2989	5184
chr1A	34000000	36000000	92	0.0	2429	731	969	2907	5242
chr1A	36000000	38000000	93	0.000976025149273	2603	847	1089	3078	5535
chr1A	38000000	40000000	94	0.057048274145	3063	977	1235	3206	5760
chr1A	40000000	42000000	95	0.160663339357	3124	934	1222	3077	5499
chr1A	42000000	44000000	96	0.293507274511	2208	720	918	3049	5315
chr1A	44000000	46000000	97	0.441870950099	2539	817	1015	2970	5211
chr1A	46000000	48000000	98	0.627005874442	1613	500	668	2744	4796
chr1A	48000000	50000000	99	0.835939107586	1565	505	664	2616	4298
chr1A	50000000	52000000	100	1.04792166361	2232	691	938	2663	4747
chr1A	52000000	54000000	101	1.31188247622	2597	819	1104	2958	4971
chr1A	54000000	56000000	102	1.5976386528	3075	745	1018	2538	4463
chr1A	56000000	58000000	103	1.8643884701	1661	413	524	2336	3872
chr1A	64000000	66000000	107	3.46244473744	2145	378	437	1343	1702
chr1A	66000000	68000000	108	3.80026512641	3678	785	1057	2893	4012
chr1A	68000000	70000000	109	4.22369502721	2634	767	1011	3337	7156
chr1	2000000	4000000	112	2.13563307177	3018	837	1086	3282	4473
chr1	4000000	6000000	113	2.00286314067	3159	994	1252	3132	5309
chr1	6000000	8000000	114	1.87019286716	2621	827	1131	2801	5205
chr1	8000000	10000000	115	1.72978953567	3214	959	1334	2935	5807
chr1	10000000	12000000	116	1.61113916925	3248	980	1330	3129	6140
chr1	12000000	14000000	117	1.4940719173	2310	732	975	2790	5433
chr1	14000000	16000000	118	1.37767312665	2093	681	859	3028	5599
chr1	16000000	18000000	119	1.26872776246	2374	731	1008	2852	5512
chr1	18000000	20000000	120	1.16887032418	2687	823	1158	3139	5712
chr1	20000000	22000000	121	1.07359966502	2966	858	1178	3151	5725
chr1	22000000	24000000	122	0.984642536356	3208	915	1247	3121	5645
chr1	24000000	26000000	123	0.897969762588	2287	704	941	3019	5516
chr1	26000000	28000000	124	0.818399237556	2412	745	1017	2931	5267
chr1	28000000	30000000	125	0.746576366548	2315	717	991	2856	4760
chr1	30000000	32000000	126	0.676385180594	2435	772	1005	3038	5044
chr1	32000000	34000000	127	0.616592812995	2628	824	1087	2965	5205
chr1	34000000	36000000	128	0.56016809741	2908	907	1197	3219	5412
chr1	36000000	38000000	129	0.511038494167	2945	853	1264	3163	5403
chr1	38000000	40000000	130	0.464524557656	2336	735	995	3052	4969
chr1	40000000	42000000	131	0.424384117196	2580	790	1064	2877	5087
chr1	72000000	74000000	147	0.579243948826	2607	760	1043	2923	5046
chr1	74000000	76000000	148	0.636086177315	3122	939	1362	3008	5529
chr1	76000000	78000000	149	0.694123892345	2424	691	1023	2863	5016
chr1	78000000	80000000	150	0.770787081929	2617	824	1172	2844	5032
chr1	80000000	82000000	151	0.844450378394	2710	874	1174	2960	5297
chr1	82000000	84000000	152	0.923432037541	2768	868	1140	2840	5259
chr1	84000000	86000000	153	1.0075280494	2027	574	804	2470	4443
chr1	86000000	88000000	154	1.11336626626	1866	429	594	2099	3409
chr1	88000000	90000000	155	1.19047379654	2143	583	767	2349	4185
chr20	0	2000000	169	3.97282184551	1816	398	582	2127	4515
chr20	2000000	4000000	170	3.11386021614	2860	791	1103	2685	6099
chr20	4000000	6000000	171	2.68266512858	2694	785	1201	2444	5388
chr20	6000000	8000000	172	2.68836453658	1845	580	735	2231	4457
chr20	8000000	10000000	173	3.15983517741	2489	763	986	2245	4617
chr20	10000000	12000000	174	4.08248947581	2556	819	1030	2404	4661
chr20	12000000	14000000	175	5.4768561552	2796	706	901	2877	5296
chr21	2000000	4000000	178	6.83715476874	2661	578	826	2053	4395
chr21	4000000	6000000	179	6.89045865048	1403	327	459	2506	3941
chr22	0	2000000	181	18.9351190513	2150	438	523	2524	4507
chr22	2000000	4000000	182	8.15496843047	2027	268	302	1610	2685
chr23	0	2000000	184	10.5062395012	2268	402	389	1914	2820
chr24	0	2000000	188	2.64146478133	1893	332	292	2823	4729
chr24	2000000	4000000	189	5.72935760575	2522	632	861	3030	5058
chr24	4000000	6000000	190	10.6757109175	2613	589	778	2475	5412
chr26	2000000	4000000	195	9.19652147554	1918	412	524	2408	4033
chr27	0	2000000	198	16.8067126761	1905	386	435	1341	2707
chr28	0	2000000	201	5.93545437164	1993	330	324	2245	3973
chr28	2000000	4000000	202	12.7127426499	2277	381	471	1876	3101
chr2	0	2000000	204	1.49737785463	2254	379	453	1722	2430
chr2	2000000	4000000	205	1.46142208597	3227	919	1221	2828	5106
chr2	4000000	6000000	206	1.42132410798	2629	754	1155	2516	4638
chr2	6000000	8000000	207	1.38052234198	2819	867	1196	2722	5240
chr2	8000000	10000000	208	1.34082338974	2415	721	1063	2791	5248
chr2	10000000	12000000	209	1.30096081169	2646	773	1136	2844	5804
chr2	12000000	14000000	210	1.26480136491	2261	663	931	2589	5005
chr2	14000000	16000000	211	1.22702012361	1713	493	745	2817	5315
chr2	16000000	18000000	212	1.19091933561	1838	570	780	3015	5453
chr2	18000000	20000000	213	1.15456730375	2548	749	1061	3072	5700
chr2	20000000	22000000	214	1.119396134	2334	727	993	2875	5497
chr2	22000000	24000000	215	1.08754243622	2452	754	1032	3010	5436
chr2	24000000	26000000	216	1.05453846353	2279	673	975	2877	5186
chr2	26000000	28000000	217	1.02498207231	3166	959	1336	3179	5665
chr2	28000000	30000000	218	0.994139973397	2604	837	1104	3087	5307
chr2	30000000	32000000	219	0.965366701147	2703	848	1143	3038	5302
chr2	32000000	34000000	220	0.936444157891	2281	736	981	2835	4517
chr2	34000000	36000000	221	0.910227464951	2368	544	787	2032	3477
chr2	36000000	38000000	222	0.883082714947	3215	1010	1372	3032	5302
chr2	38000000	40000000	223	0.857135041281	2758	939	1157	2865	4903
chr2	40000000	42000000	224	0.83324882939	2523	805	1079	3112	4764
chr2	42000000	44000000	225	0.808375134921	2844	848	1200	2878	5253
chr2	44000000	46000000	226	0.786363137055	2543	828	1033	2870	4959
chr2	46000000	48000000	227	0.767620390328	2969	633	881	2212	3669
chr2	74000000	76000000	241	0.563377657227	1757	381	443	1736	2996
chr2	76000000	78000000	242	0.555085428456	1834	440	627	2646	4689
chr2	78000000	80000000	243	0.549560472706	912	272	334	2833	5283
chr2	82000000	84000000	245	0.538842980678	1405	398	487	2833	5153
chr2	84000000	86000000	246	0.536008091335	2154	643	839	2996	5277
chr2	86000000	88000000	247	0.53353854238	2238	669	922	3097	5087
chr2	88000000	90000000	248	0.532093524985	2563	817	1100	3059	5065
chr2	90000000	92000000	249	0.531592254924	2200	675	966	2991	4824
chr2	92000000	94000000	250	0.53203950787	2429	808	963	2793	4227
chr2	94000000	96000000	251	0.533450353533	3261	1014	1365	3230	5588
chr2	96000000	98000000	252	0.536231762004	3263	616	875	2208	3579
chr2	98000000	100000000	253	0.539136988594	2527	796	1081	3111	5057
chr2	100000000	102000000	254	0.543576103671	2704	897	1137	3064	4890
chr2	102000000	104000000	255	0.548650119419	2809	860	1197	3115	5191
chr2	104000000	106000000	256	0.554929073063	2231	747	962	2731	4527
chr2	106000000	108000000	257	0.56225150559	2980	914	1290	3002	5021
chr2	108000000	110000000	258	0.570285370888	2710	926	1129	2989	4783
chr2	110000000	112000000	259	0.579306275983	3510	1046	1398	3164	5427
chr2	112000000	114000000	260	0.589444860712	2893	935	1226	3088	5205
chr2	114000000	116000000	261	0.600535644702	2663	828	1161	2895	4943
chr2	116000000	118000000	262	0.612475455746	2399	743	999	3002	5189
chr2	118000000	120000000	263	0.6256316106	2538	768	1023	2601	4795
chr2	120000000	122000000	264	0.638468221711	2518	735	1043	2778	4662
chr2	122000000	124000000	265	0.65476265374	2811	856	1139	3111	5711
chr2	124000000	126000000	266	0.669765032316	2939	852	1281	3086	5904
chr2	126000000	128000000	267	0.685551222597	2011	616	818	2894	5085
chr2	128000000	130000000	268	0.704734696902	2121	666	863	2880	5410
chr2	130000000	132000000	269	0.723507961465	1893	578	779	2920	5429
chr2	132000000	134000000	270	0.742925436281	2457	676	1095	2974	5652
chr2	134000000	136000000	271	0.762795401828	3267	941	1282	3171	6152
chr2	136000000	138000000	272	0.784898667532	1744	538	762	2708	5170
chr2	138000000	140000000	273	0.806455210399	2107	574	911	2774	5712
chr2	140000000	142000000	274	0.831603397069	2296	739	972	2539	5512
chr2	142000000	144000000	275	0.855389288301	2767	830	1220	2742	6037
chr2	144000000	146000000	276	0.880631291339	3288	1028	1411	2818	5793
chr2	146000000	148000000	277	0.908277173284	2769	836	1171	2734	5004
chr2	148000000	150000000	278	0.93351348071	2655	787	1005	2770	4218
chr3	16000000	18000000	288	1.32751532648	2454	361	449	2688	4564
chr3	18000000	20000000	289	1.26413992649	2255	739	960	2766	4512
chr3	20000000	22000000	290	1.18044738214	2128	695	924	2789	4581
chr3	22000000	24000000	291	1.09719488632	2543	806	1091	3113	5172
chr3	24000000	26000000	292	1.02741238213	1839	605	752	2996	5329
chr3	32000000	34000000	296	0.748991042772	1178	295	445	2535	4548
chr3	34000000	36000000	297	0.702826015984	2239	664	933	3094	5110
chr3	36000000	38000000	298	0.648998443813	2536	816	1006	3272	5198
chr3	38000000	40000000	299	0.602045466098	2649	799	1067	3267	5041
chr3	40000000	42000000	300	0.55778827933	2660	776	1146	2904	4754
chr3	42000000	44000000	301	0.517213928663	2549	781	1089	2992	4738
chr3	44000000	46000000	302	0.479682721717	3256	975	1373	3352	5530
chr3	46000000	48000000	303	0.448200469612	2618	804	1123	3200	5353
chr3	48000000	50000000	304	0.421610325932	2929	874	1185	3126	5153
chr3	50000000	52000000	305	0.396815331179	2654	877	1079	2944	5023
chr3	52000000	54000000	306	0.377231295753	2292	734	1001	2935	4671
chr3	54000000	56000000	307	0.360852565696	2976	866	1270	3025	5043
chr3	56000000	58000000	308	0.349015388289	2686	810	1141	3052	5056
chr3	58000000	60000000	309	0.340948667017	3000	961	1233	3106	5260
chr3	60000000	62000000	310	0.337170615694	2506	745	1075	2813	5006
chr3	62000000	64000000	311	0.337216875028	3044	913	1321	3125	5391
chr3	64000000	66000000	312	0.3414618424	2816	951	1182	3041	5331
chr3	66000000	68000000	313	0.349280538448	2672	835	1168	3070	5136
chr3	68000000	70000000	314	0.36172830045	2019	604	905	2841	4738
chr3	70000000	72000000	315	0.378465990745	3073	895	1227	3168	5278
chr3	72000000	74000000	316	0.397370440095	2424	746	991	2792	4749
chr3	74000000	76000000	317	0.422929300876	3022	905	1293	3234	5297
chr3	76000000	78000000	318	0.44925359292	2262	704	952	2897	4882
chr3	78000000	80000000	319	0.483832708242	2463	723	1018	2914	4971
chr3	80000000	82000000	320	0.517959148546	2643	772	1133	3131	5506
chr3	82000000	84000000	321	0.559149228746	2471	724	1063	3092	5470
chr3	84000000	86000000	322	0.604339729009	2608	756	1119	3110	5576
chr3	86000000	88000000	323	0.650903884449	2837	745	1093	3041	5491
chr3	88000000	90000000	324	0.702110747819	2471	707	1024	3048	5501
chr3	90000000	92000000	325	0.763121531595	2819	818	1151	3173	5717
chr3	92000000	94000000	326	0.819311686584	2441	726	995	3108	5706
chr3	94000000	96000000	327	0.886504512207	2480	762	1002	2975	5606
chr3	96000000	98000000	328	0.952154231003	2023	666	841	2858	5488
chr3	98000000	100000000	329	1.02860649374	2115	637	907	2843	5617
chr3	100000000	102000000	330	1.10329650467	2917	855	1226	3068	6039
chr3	102000000	104000000	331	1.18180198138	2610	798	1138	2746	5646
chr3	104000000	106000000	332	1.26589243727	2475	770	1100	2740	5177
chr3	106000000	108000000	333	1.35639209436	2315	722	1055	2598	5253
chr3	108000000	110000000	334	1.44821945801	3044	931	1307	2809	5193
chr3	110000000	111636321	335	1.5314798993	2059	570	738	2159	3197
chr4A	0	2000000	336	9.44322787831	2412	395	338	3004	5679
chr4A	2000000	4000000	337	6.09781275539	3649	439	188	3128	5290
chr4A	4000000	6000000	338	3.39592386881	2398	503	546	2623	4253
chr4A	6000000	8000000	339	1.90866516303	2323	629	905	2366	4687
chr4A	8000000	10000000	340	0.87422744225	1843	534	759	2539	5202
chr4A	10000000	12000000	341	0.432850568224	1131	339	456	2831	5360
chr4A	12000000	14000000	342	0.828742727346	998	286	358	2433	4892
chr4A	14000000	16000000	343	1.44427931615	2010	378	543	2628	5441
chr4	0	2000000	346	2.83211033898	1706	248	287	981	1398
chr4	2000000	4000000	347	2.68065725728	3179	705	799	2513	3307
chr4	4000000	6000000	348	2.42306941293	3028	770	934	2744	3635
chr4	6000000	8000000	349	2.24308569277	2375	609	788	2514	3025
chr4	10000000	12000000	351	1.79117724211	2264	642	830	2680	4337
chr4	12000000	14000000	352	1.62595471801	2385	791	986	2962	4651
chr4	14000000	16000000	353	1.45679117545	2968	898	1249	2847	4481
chr4	16000000	18000000	354	1.29982650574	3407	1145	1408	3323	5237
chr4	18000000	20000000	355	1.16059545318	3080	964	1353	3229	5216
chr4	20000000	22000000	356	1.02823628553	2783	882	1206	2974	5211
chr4	22000000	24000000	357	0.916523962608	2987	911	1205	3127	5135
chr4	24000000	26000000	358	0.818608892139	2368	698	885	2695	4248
chr4	28000000	30000000	360	0.648706381233	3761	1186	1494	3444	5802
chr4	30000000	32000000	361	0.590330079276	2978	850	1242	3230	5494
chr4	32000000	34000000	362	0.542836390702	3443	1036	1471	3254	5636
chr4	34000000	36000000	363	0.509971678036	3299	1004	1358	3257	5632
chr4	36000000	38000000	364	0.48899872982	2244	696	928	2982	5332
chr4	38000000	40000000	365	0.482297839071	3069	892	1334	3155	5888
chr4	40000000	42000000	366	0.488803503489	3065	877	1275	3118	5782
chr4	42000000	44000000	367	0.509707193234	2161	662	880	2943	5298
chr4	44000000	46000000	368	0.541895216431	2734	803	1125	3036	5519
chr4	46000000	48000000	369	0.596365032163	1983	536	820	3086	5456
chr4	48000000	50000000	370	0.652488415576	2854	804	1110	3191	5726
chr4	50000000	52000000	371	0.726988330023	1747	552	735	2749	5121
chr4	52000000	54000000	372	0.810988307604	2475	752	1087	3093	5735
chr4	54000000	56000000	373	0.921686266554	2200	600	996	2756	5757
chr4	56000000	58000000	374	1.03447440121	2135	664	895	2915	5792
chr4	58000000	60000000	375	1.15860880192	2661	825	1135	2930	5898
chr4	60000000	62000000	376	1.30998702185	2224	739	962	2779	5390
chr4	62000000	64000000	377	1.46356483298	2673	863	1150	2743	5172
chr4	64000000	66000000	378	1.63165493881	3507	1050	1406	2935	5433
chr4	66000000	68000000	379	1.76095594814	2328	367	434	1384	2107
chr5	4000000	6000000	383	2.32135716208	2931	909	1234	2897	4699
chr5	12000000	14000000	387	0.842096055546	1243	377	466	2825	4807
chr5	14000000	16000000	388	0.589643047503	1473	456	645	2806	4694
chr5	16000000	18000000	389	0.347039902847	1778	579	777	2955	5126
chr5	18000000	20000000	390	0.147689372584	2572	796	1069	3009	5310
chr5	20000000	22000000	391	0.0191320815687	2500	750	1063	2778	4989
chr5	22000000	24000000	392	0.0	1747	578	706	2670	4762
chr5	24000000	26000000	393	0.0	2114	645	854	2898	4817
chr5	26000000	28000000	394	0.0	2084	702	828	2943	5030
chr5	28000000	30000000	395	0.0	1917	596	806	2873	5089
chr5	30000000	32000000	396	0.0	2298	688	954	2847	5173
chr5	32000000	34000000	397	0.0	2943	842	1216	2932	5086
chr5	34000000	36000000	398	0.0	2135	623	897	2948	5216
chr5	36000000	38000000	399	0.0575776021925	1809	547	747	2771	4930
chr5	38000000	40000000	400	0.232494090339	1423	429	582	2618	4798
chr5	40000000	42000000	401	0.462803914142	1983	672	812	2682	5116
chr5	42000000	44000000	402	0.712176762451	2774	800	1097	2941	5565
chr5	44000000	46000000	403	0.971842542867	1646	488	666	2749	5240
chr5	46000000	48000000	404	1.33696357726	2005	625	839	2773	5331
chr5	48000000	50000000	405	1.67669798594	2089	700	873	2508	4834
chr5	50000000	52000000	406	2.0647164459	2000	652	885	2693	5258
chr5	52000000	54000000	407	2.53116866935	2476	739	1108	2643	5130
chr5	54000000	56000000	408	3.00952113381	2650	845	1154	2622	5005
chr5	56000000	58000000	409	3.51641706848	2854	890	1164	2783	4890
chr5	58000000	60000000	410	4.04270256755	2738	806	978	3108	4592
chr5	60000000	61875929	411	4.48541741217	1460	314	390	1543	2140
chr6	0	2000000	412	5.65667318293	3200	611	722	3456	4151
chr6	2000000	4000000	413	4.41841382022	2313	333	379	1346	1856
chr6	4000000	6000000	414	2.68067131718	1711	493	691	2899	5258
chr6	6000000	8000000	415	1.73431871922	1059	334	431	3079	5556
chr6	8000000	10000000	416	0.711995331012	1040	326	440	2984	5240
chr6	10000000	12000000	417	0.158616042273	1214	396	493	2578	4784
chr6	12000000	14000000	418	0.0	2033	594	795	2693	5083
chr6	14000000	16000000	419	0.0	1994	606	826	2892	5295
chr6	20000000	22000000	422	0.567318852244	1432	475	630	2413	4794
chr6	22000000	24000000	423	1.26501145296	2450	774	1008	2568	5121
chr6	24000000	26000000	424	2.28819364311	2680	809	1134	2622	4913
chr6	26000000	28000000	425	3.4796953851	2877	898	1198	2709	5161
chr6	28000000	30000000	426	4.92505233774	3193	896	1304	2973	5269
chr6	30000000	32000000	427	6.64031325985	2775	835	1017	2788	4299
chr7	0	2000000	429	4.45420952135	2027	325	392	1287	2007
chr7	34000000	36000000	446	5.48400102999	2809	741	925	2967	4327
chr7	36000000	37653027	447	6.57882635104	1595	304	379	2365	3229
chr9	4000000	6000000	466	0.731178890488	816	229	316	2245	4054
chr9	6000000	8000000	467	0.26889821819	2129	627	917	2873	5320
chr9	8000000	10000000	468	0.101333118228	2553	789	1009	2741	5618
chr9	10000000	12000000	469	0.213437689202	2600	782	1039	2909	5554
chr9	12000000	14000000	470	0.596656774069	2162	633	851	2456	4964
chr9	14000000	16000000	471	1.26357853682	2036	635	865	2438	4875
chr9	16000000	18000000	472	2.33998934945	1678	515	717	2300	4498
chr9	18000000	20000000	473	3.67094537658	2903	816	1232	2635	5159
chr9	20000000	22000000	474	5.16455403279	2762	870	1176	2665	4792
chr9	22000000	24000000	475	7.00726318299	3321	893	993	3177	4699
