"chromo","indels","callable","divergence","type"
"chr28",528,94949,0.0055608800514,"ancestral LINEs new"
"chr23",527,68262,0.00772025431426,"ancestral LINEs new"
"chr24",715,116306,0.00614757622135,"ancestral LINEs new"
"chr20",1398,222270,0.00628964772574,"ancestral LINEs new"
"chr19",776,104985,0.00739153212364,"ancestral LINEs new"
"chr18",721,103970,0.00693469269982,"ancestral LINEs new"
"chr17",1035,145632,0.00710695451549,"ancestral LINEs new"
"chr15",967,158237,0.00611108653475,"ancestral LINEs new"
"chr13",1191,193092,0.00616804424834,"ancestral LINEs new"
"chr14",1478,242035,0.00610655483711,"ancestral LINEs new"
"chr12",1216,189337,0.00642241083359,"ancestral LINEs new"
"chr11",1194,203534,0.00586634174143,"ancestral LINEs new"
"chr10",977,172711,0.00565684872417,"ancestral LINEs new"
"chr1A",7468,1329667,0.00561644381638,"ancestral LINEs new"
"chr8",1721,318522,0.00540308047796,"ancestral LINEs new"
"chr6",2127,356536,0.00596573698028,"ancestral LINEs new"
"chr9",1638,268809,0.00609354597502,"ancestral LINEs new"
"chr7",1762,313022,0.00562899732287,"ancestral LINEs new"
"chrZ",9002,1418748,0.00634503097097,"ancestral LINEs new"
"chr5",6063,1093347,0.0055453575123,"ancestral LINEs new"
"chr4",7259,1272310,0.00570537054649,"ancestral LINEs new"
"chr3",13224,2424252,0.00545487845323,"ancestral LINEs new"
"chr2",20768,3779342,0.00549513645497,"ancestral LINEs new"
"chr1",14761,2674770,0.00551860533803,"ancestral LINEs new"
"autosomes",75520,13344253,0.00565936512144966,"ancestral LINEs prebug"
"autosomes",92502,16304531,0.00567339226132907,"ancestral LINEs new"
"autosomes",3096596,645416512,0.00479782581081533,"non-coding"
"autosomes",6381,19833820,0.000321723198052619,"cds"
