chr	start	stop	window	rec_rate	callable	n_ins	theta_ins	pi_ins	tajd_ins	n_del	theta_del	pi_del	tajd_del
chr17	8000000	10000000	62	8.77508560063	1180125	237	5.66067984336e-05	5.51056701175e-05	-0.110301979711	27	6.44887577092e-06	6.35971880766e-06	-0.0538082353019
chr17	10000000	10486032	63	11.3520483926	265600	21	2.22863774406e-05	2.0172796449e-05	-0.361921302222	3	3.18376820581e-06	4.08211794547e-06	0.753625307537
chr18	0	2000000	64	7.69160795567	163	123	0.212699154932	0.18585728124	-0.520516300505	25	0.0432315355553	0.0447529867614	0.136209944339
chr18	2000000	4000000	65	5.12229780726	1187316	289	6.86087931235e-05	6.57387178973e-05	-0.17428608507	183	4.34443222893e-05	3.93412758826e-05	-0.391777744356
chr18	4000000	6000000	66	3.38244993937	1239869	257	5.84259226079e-05	6.10845517593e-05	0.189406672878	43	9.77554347136e-06	1.07014701171e-05	0.378675831088
chr18	6000000	8000000	67	3.02744350716	1179324	151	3.6090430946e-05	3.78450527144e-05	0.201176532165	15	3.58514214695e-06	3.16416773284e-06	-0.433317376638
chr18	8000000	10000000	68	NA	1024048	0	NA	NA	NA	0	NA	NA	NA
chr18	10000000	11572643	69	NA	665379	0	NA	NA	NA	0	NA	NA	NA
chr19	0	2000000	70	6.39023153271	1223809	653	0.000150399986043	0.000138089143683	-0.342465402123	861	0.000198306872868	0.000181697599785	-0.350704934742
chr19	2000000	4000000	71	5.74770645965	1291949	648	0.000141376717239	0.000130125716629	-0.332949786848	885	0.000193083942525	0.000171637865288	-0.465115426769
chr19	4000000	6000000	72	5.23079998299	1200174	738	0.000173324679191	0.00016295882711	-0.250316350168	948	0.000222644709855	0.00019716000829	-0.479399739319
chr19	6000000	8000000	73	4.67258400841	1261857	745	0.000166415735544	0.000154867827838	-0.2904461704	950	0.000212207984922	0.000194345985405	-0.352534066928
chr19	8000000	9871655	74	4.24366691044	1001109	414	0.000116564748987	9.71922138349e-05	-0.693995107816	589	0.00016583728781	0.000133057702166	-0.826684384323
chr1A	0	2000000	75	2.71616988852	453108	331	0.000205908616737	0.000202867865126	-0.0615843397209	399	0.000248210084828	0.000231651522142	-0.278518692334
chr1A	2000000	4000000	76	2.47052276538	1968995	876	0.000125402949197	0.000121841479109	-0.118924003917	1106	0.000158328381064	0.000146088419941	-0.32388856713
chr1A	4000000	6000000	77	2.13854466254	1701783	827	0.000136977610527	0.000128725670602	-0.252226078149	1192	0.000197433266927	0.000177535159177	-0.422306771359
chr1A	6000000	8000000	78	1.78207832291	1529037	795	0.000146553903795	0.000134591077156	-0.341722490281	1230	0.000226743775683	0.000202759197972	-0.44325948529
chr1A	8000000	10000000	79	1.43600670122	1436703	428	8.39701691019e-05	8.03667549206e-05	-0.179226093703	647	0.000126936213572	0.000114161235463	-0.421054043141
chr1A	10000000	12000000	80	1.21362252071	1504826	327	6.12505120628e-05	5.46627282735e-05	-0.448495971514	353	6.61205833583e-05	6.05280680466e-05	-0.352868127134
chr1A	12000000	14000000	81	0.978643951135	1390877	444	8.99792775698e-05	7.318366303e-05	-0.779731940647	648	0.000131321107805	0.000100814847489	-0.971896280971
chr1A	14000000	16000000	82	0.753899994316	1368594	643	0.000132429457093	0.000116642950433	-0.498718533333	899	0.000185154093198	0.000154861197158	-0.685146251964
chr1A	16000000	18000000	83	0.569202716247	1413078	779	0.000155388752502	0.000134748772761	-0.556035117846	1015	0.000202464164043	0.000175939183452	-0.548787148984
chr1A	18000000	20000000	84	0.388744952397	1430374	623	0.000122768428512	0.000111634402868	-0.379377959084	845	0.000166515765799	0.000140909043075	-0.643882615448
chr1A	20000000	22000000	85	0.246646521848	1498123	679	0.000127752839003	0.000118741567738	-0.295153565269	996	0.000187395917006	0.000161763823974	-0.572931953828
chr1A	22000000	24000000	86	0.125146143968	1547797	633	0.000115275752752	0.000102175781721	-0.475404255081	866	0.000157707427936	0.000135142841219	-0.599115620473
chr1A	24000000	26000000	87	0.0288299041686	1862779	699	0.000105770388577	9.28578667735e-05	-0.510880829711	867	0.000131191597848	0.000118919663917	-0.391691064652
chr1A	26000000	28000000	88	0.0	1059251	594	0.000158065037863	0.000144441685682	-0.360479202425	769	0.000204633020398	0.000179421715513	-0.515722696808
chr1A	28000000	30000000	89	0.0	1358056	755	0.000156703079199	0.000137940982513	-0.501161279229	1041	0.000216063450922	0.00018902018768	-0.524322241282
chr1A	30000000	32000000	90	0.0	1477353	731	0.000139470178245	0.000127297374354	-0.365293151306	967	0.000184497486133	0.000162100017645	-0.508462426519
chr1A	32000000	34000000	91	0.0	1421038	680	0.000134881217841	0.000127556868919	-0.227222920902	879	0.000174353809532	0.000147564482331	-0.643401472918
chr1A	34000000	36000000	92	0.0	1435854	731	0.000143501140256	0.000133080529445	-0.303927560817	969	0.000190222441735	0.000167928670068	-0.49087873249
chr1A	36000000	38000000	93	0.000976025149273	1440153	847	0.000165776525975	0.000150696707773	-0.38087616365	1089	0.000213141247682	0.000191580521763	-0.423795908689
chr1A	38000000	40000000	94	0.057048274145	1408260	977	0.000195550971233	0.000180031797358	-0.332406187726	1235	0.000247190838765	0.000223224329837	-0.406290701869
chr1A	40000000	42000000	95	0.160663339357	1344425	934	0.0001958206798	0.000184426329785	-0.243694960818	1222	0.000256202217041	0.000241578526527	-0.23918302774
chr1A	42000000	44000000	96	0.293507274511	1846041	720	0.00010993586844	0.000100616457198	-0.354781876425	918	0.000140168232261	0.000124374269044	-0.471888378749
chr1A	44000000	46000000	97	0.441870950099	1532140	817	0.000150304458377	0.000141738455947	-0.238602914455	1015	0.000186730753063	0.000173376350794	-0.299575041569
chr1A	46000000	48000000	98	0.627005874442	1316589	500	0.000107045407421	9.51261975173e-05	-0.46538324689	668	0.000143012664314	0.000122561526714	-0.598346043309
chr1A	48000000	50000000	99	0.835939107586	1315268	505	0.00010822444853	0.000100899988684	-0.282878760993	664	0.000142299076879	0.000125453719818	-0.495312179062
chr1A	50000000	52000000	100	1.04792166361	1428535	691	0.000136343808005	0.000128910129314	-0.228152503705	938	0.000185080306669	0.000170542769893	-0.32896562237
chr1A	52000000	54000000	101	1.31188247622	1475058	819	0.000156503142304	0.000148846957026	-0.204814940929	1104	0.00021096394274	0.000195917363035	-0.298814965664
chr1A	54000000	56000000	102	1.5976386528	1151345	745	0.000182389171627	0.000183277635699	0.0203890766632	1018	0.000249224398276	0.000239006507492	-0.171739617835
chr1A	56000000	58000000	103	1.8643884701	1042950	413	0.000111618150134	0.000107650111904	-0.148447424774	524	0.000141617217119	0.00013226652133	-0.276023581133
chr1A	58000000	60000000	104	2.09923822873	426251	81	5.35633665551e-05	4.60440345934e-05	-0.573898255817	81	5.35633665551e-05	4.74886985911e-05	-0.463637111244
chr1A	60000000	62000000	105	NA	435768	0	NA	NA	NA	0	NA	NA	NA
chr1A	62000000	64000000	106	NA	552	0	NA	NA	NA	0	NA	NA	NA
chr1A	64000000	66000000	107	3.46244473744	492618	378	0.000216286683126	0.000221394991443	0.09857495274	437	0.000250045715678	0.000240391241553	-0.161274950418
chr1A	66000000	68000000	108	3.80026512641	976736	785	0.00022653782115	0.000221645842566	-0.0903994334926	1057	0.000305032454721	0.000285009406194	-0.274991021267
chr1A	68000000	70000000	109	4.22369502721	1283604	767	0.000168427328262	0.000160547137099	-0.195847304674	1011	0.00022200786033	0.000207179817222	-0.279774928712
chr1A	70000000	71365269	110	4.65113087052	854553	66	2.17697373717e-05	2.08234443529e-05	-0.176669625505	64	2.11100483604e-05	1.55698513233e-05	-1.06561592319
chr1	0	2000000	111	2.27575043463	394948	181	0.000129177511317	0.000121081895924	-0.259939837336	210	0.000149874460644	0.00014632172763	-0.0984825885613
chr1	2000000	4000000	112	2.13563307177	1167065	837	0.000202152292369	0.000199799451931	-0.0487316466278	1086	0.000262290787949	0.000246348972129	-0.25463213651
chr1	4000000	6000000	113	2.00286314067	1387926	994	0.000201868395109	0.000193385860023	-0.176008850222	1252	0.000254264819594	0.000235527497029	-0.308813466387
chr1	6000000	8000000	114	1.87019286716	1555249	827	0.000149883503526	0.000137358272398	-0.349877027351	1131	0.000204979736987	0.000186353642272	-0.380718776138
chr1	8000000	10000000	115	1.72978953567	1380347	959	0.000195829713642	0.00018437011624	-0.245094141295	1334	0.000272405461937	0.00025398266561	-0.28344028859
chr1	10000000	12000000	116	1.61113916925	1494866	980	0.000184787278314	0.00017523837905	-0.21644358006	1330	0.000250782734855	0.000225660078527	-0.419843672858
chr1	12000000	14000000	117	1.4940719173	1386681	732	0.000148793093619	0.00013351076571	-0.429873605952	975	0.000198187522238	0.000171564522163	-0.562651085451
chr1	14000000	16000000	118	1.37767312665	1529743	681	0.000125480689011	0.000115602493532	-0.329410446845	859	0.000158278872042	0.000134525520747	-0.628388726774
chr1	16000000	18000000	119	1.26872776246	1573064	731	0.000130984299584	0.000118049869554	-0.413295155017	1008	0.000180618569057	0.000156228795991	-0.565634459428
chr1	18000000	20000000	120	1.16887032418	1493886	823	0.000155285403658	0.000141876534368	-0.361525918195	1158	0.00021849392155	0.000195174478543	-0.447189816833
chr1	20000000	22000000	121	1.07359966502	1792830	858	0.000134895180771	0.000121134566139	-0.427136362856	1178	0.000185205737702	0.000165069808773	-0.455558669701
chr1	22000000	24000000	122	0.984642536356	1516601	915	0.000170058370538	0.000159487529923	-0.260318997108	1247	0.000231762609902	0.00020706969418	-0.446478875956
chr1	24000000	26000000	123	0.897969762588	1384330	704	0.000143344583099	0.000127091692086	-0.474495008174	941	0.000191601211216	0.000165286114088	-0.575214555813
chr1	26000000	28000000	124	0.818399237556	1436798	745	0.000146153363804	0.000132527877596	-0.39021138132	1017	0.000199514055018	0.000171536401007	-0.587403689845
chr1	28000000	30000000	125	0.746576366548	1505346	717	0.000134255188957	0.000115874741719	-0.572969920401	991	0.000185560519186	0.000156372512925	-0.658859965053
chr1	30000000	32000000	126	0.676385180594	1437764	772	0.000151348441278	0.00013533807393	-0.44281751682	1005	0.000197027439747	0.000169645732064	-0.582132020859
chr1	32000000	34000000	127	0.616592812995	1532761	824	0.000151530838885	0.000142426159824	-0.251560781305	1087	0.000199895657607	0.000180935957365	-0.39736295763
chr1	34000000	36000000	128	0.56016809741	1676374	907	0.000152505191515	0.000132183792927	-0.558025606439	1197	0.000201266498615	0.000168716276289	-0.677676476952
chr1	36000000	38000000	129	0.511038494167	1769974	853	0.000135840853528	0.00012502116445	-0.333505511602	1264	0.000201292894326	0.000170891597397	-0.632915711478
chr1	38000000	40000000	130	0.464524557656	1472653	735	0.000140680910363	0.000122214090739	-0.549409654072	995	0.000190445586137	0.00016679528643	-0.520168289007
chr1	40000000	42000000	131	0.424384117196	1387626	790	0.000160473350412	0.000148743249262	-0.30600491214	1064	0.000216131195997	0.000189953352363	-0.507407303099
chr1	42000000	44000000	132	0.394314887996	1183940	333	7.92798458843e-05	7.25010068967e-05	-0.356593596171	101	2.40458391421e-05	1.9382205535e-05	-0.796966869412
chr1	44000000	46000000	133	0.365850867762	1886178	330	4.93150550483e-05	4.66607744952e-05	-0.224451500881	73	1.09090879349e-05	9.19989077327e-06	-0.638706936023
chr1	46000000	48000000	134	0.344000464442	1497581	264	4.96891837708e-05	4.55647087572e-05	-0.345578797538	42	7.90509741808e-06	7.25028879028e-06	-0.330794715835
chr1	48000000	50000000	135	0.327638164603	1588872	220	3.90285149468e-05	3.66628851027e-05	-0.25193728748	38	6.74128894536e-06	5.57495804372e-06	-0.687493274113
chr1	50000000	52000000	136	0.316200149709	1445988	231	4.50293365717e-05	4.20837735714e-05	-0.272021863375	39	7.60235552509e-06	7.22507269843e-06	-0.197464204504
chr1	52000000	54000000	137	0.311816527744	1729184	263	4.28709194099e-05	3.81256799678e-05	-0.460810153608	43	7.00931381987e-06	7.0766570274e-06	0.0384105220368
chr1	54000000	56000000	138	0.312515661511	1517079	268	4.97937523148e-05	4.54717325375e-05	-0.361414391662	35	6.50291541424e-06	5.39471611321e-06	-0.674174012075
chr1	56000000	58000000	139	0.319516405873	1862982	241	3.64633563012e-05	3.30426674744e-05	-0.390262550682	43	6.50591004545e-06	5.73782982563e-06	-0.47198744154
chr1	58000000	60000000	140	0.331695935968	1509334	194	3.62296911706e-05	3.24332663141e-05	-0.434977249112	28	5.22902759163e-06	4.85749274009e-06	-0.27723495435
chr1	60000000	62000000	141	0.348846266808	1388717	211	4.28269316889e-05	4.210247376e-05	-0.0702816421867	42	8.52479208973e-06	8.01951881144e-06	-0.236697642152
chr1	62000000	64000000	142	0.374929721601	1390335	194	3.93305963622e-05	3.58717030144e-05	-0.365058954532	37	7.50119621341e-06	7.44992734617e-06	-0.0271208458971
chr1	64000000	66000000	143	0.403180039998	1570853	279	5.00630050667e-05	4.86996555375e-05	-0.113428588676	47	8.43355282485e-06	7.63916165294e-06	-0.378078607419
chr1	66000000	68000000	144	0.436456522845	1508908	228	4.25912457851e-05	4.17171679261e-05	-0.0853310885701	30	5.60411128751e-06	5.5529875701e-06	-0.0357572690135
chr1	68000000	70000000	145	0.476125716362	1411072	183	3.6555284892e-05	3.69819616053e-05	0.0484189232633	30	5.99266965443e-06	5.61349997135e-06	-0.248005855552
chr1	70000000	72000000	146	0.550117015033	1377021	3	6.14085649719e-07	5.77142136616e-07	-0.160679589073	4	8.18780866292e-07	6.00074936747e-07	-0.773266912095
chr1	72000000	74000000	147	0.579243948826	1351815	760	0.00015846909894	0.000148790213236	-0.255659974604	1043	0.000217477987098	0.000188829949287	-0.55182557782
chr1	74000000	76000000	148	0.636086177315	1593763	939	0.000166069588452	0.000157898402447	-0.206070568581	1362	0.00024088048932	0.000217063244925	-0.414406390797
chr1	76000000	78000000	149	0.694123892345	1363963	691	0.000142798522957	0.000127442104947	-0.450010951551	1023	0.000211407943538	0.000190474375038	-0.414788146959
chr1	78000000	80000000	150	0.770787081929	1430188	824	0.000162398621818	0.000145829190215	-0.427173784358	1172	0.000230984447537	0.000206465311222	-0.444780117154
chr1	80000000	82000000	151	0.844450378394	1416554	874	0.000173910800952	0.000163302151411	-0.255434191093	1174	0.000233605583887	0.00021117964329	-0.402246034323
chr1	82000000	84000000	152	0.923432037541	1441918	868	0.000169678735587	0.000156111512583	-0.334812364747	1140	0.000222849952269	0.000195755346625	-0.509413405813
chr1	84000000	86000000	153	1.0075280494	1190097	574	0.000135949554688	0.000127499558528	-0.259929160097	804	0.000190424114928	0.000172396385381	-0.396341589791
chr1	86000000	88000000	154	1.11336626626	918347	429	0.000131673608637	0.000121373683253	-0.326702598018	594	0.000182317304267	0.00016235119932	-0.458033779683
chr1	88000000	90000000	155	1.19047379654	1164413	583	0.000141126888562	0.000130099435238	-0.32678891026	767	0.000185667793357	0.000171050721875	-0.329546877061
chr1	90000000	92000000	156	1.2913481697	211	0	NA	NA	NA	1	NA	NA	NA
chr1	92000000	94000000	157	1.4596510329	291108	143	0.000138461857765	0.000132144843332	-0.188635331306	217	0.000210113448497	0.000198913335112	-0.221532398624
chr1	94000000	96000000	158	1.47102323041	132752	13	2.76026346395e-05	2.91005626637e-05	0.196849774008	26	5.52052692791e-05	6.23243658139e-05	0.500555330796
chr1	96000000	98000000	159	1.70192245564	286	2	NA	NA	NA	0	NA	NA	NA
chr1	98000000	100000000	160	1.81624547656	659	1	NA	NA	NA	0	NA	NA	NA
chr1	100000000	102000000	161	NA	877	0	NA	NA	NA	0	NA	NA	NA
chr1	102000000	104000000	162	NA	0	0	NA	NA	NA	0	NA	NA	NA
chr1	104000000	106000000	163	NA	0	0	NA	NA	NA	0	NA	NA	NA
chr1	106000000	108000000	164	NA	0	0	NA	NA	NA	0	NA	NA	NA
chr1	108000000	110000000	165	NA	5	0	NA	NA	NA	0	NA	NA	NA
chr1	110000000	112000000	166	2.67002330298	751	1	NA	NA	NA	0	NA	NA	NA
chr1	112000000	114000000	167	2.83146909057	1879	18	0.00270018787268	0.0026918013501	-0.0116850121011	6	0.000900062624228	0.00094115010784	0.145478293589
chr1	114000000	114059860	168	NA	0	0	NA	NA	NA	0	NA	NA	NA
chr20	0	2000000	169	3.97282184551	964014	398	0.00011637186338	0.000105086921101	-0.404852216726	582	0.000170171920822	0.000146187001215	-0.5894533128
chr20	2000000	4000000	170	3.11386021614	1285220	791	0.000173479142054	0.000173449722718	-0.000709931883985	1103	0.00024190580744	0.00023822667264	-0.063719360754
chr20	4000000	6000000	171	2.68266512858	1423485	785	0.000155440798659	0.000151629349985	-0.102647159921	1201	0.000237814521261	0.000226467917969	-0.199926378834
chr20	6000000	8000000	172	2.68836453658	1190106	580	0.000137369591327	0.00012707404126	-0.31343851617	735	0.000174080430389	0.000152414552724	-0.520913585587
chr20	8000000	10000000	173	3.15983517741	1318644	763	0.00016309672195	0.000152389400339	-0.274803658957	986	0.000210764571223	0.000191903676488	-0.374829763721
chr20	10000000	12000000	174	4.08248947581	1480304	819	0.000155948516035	0.000139302823147	-0.446882031703	1030	0.000196125728347	0.000171789037927	-0.519801652492
chr20	12000000	14000000	175	5.4768561552	1133480	706	0.000175565467362	0.000159675930483	-0.378754920526	901	0.000224057345741	0.000204781548394	-0.360272678065
chr20	14000000	14661763	176	6.6309353395	333007	86	7.27936248084e-05	5.95530392675e-05	-0.744715487844	100	8.46437497772e-05	7.57847195562e-05	-0.42998788197
chr21	0	2000000	177	7.03777905839	0	100	NA	NA	NA	18	NA	NA	NA
chr21	2000000	4000000	178	6.83715476874	972578	578	0.000167514210307	0.000161410406699	-0.152383042236	826	0.000239388819574	0.000223567510375	-0.27670733751
chr21	4000000	6000000	179	6.89045865048	1063641	327	8.66564593367e-05	6.38224838327e-05	-1.09877690757	459	0.000121637048427	9.05083774061e-05	-1.0691938615
chr21	6000000	7693166	180	7.21080409661	754216	0	NA	NA	NA	2	NA	NA	NA
chr22	0	2000000	181	18.9351190513	817340	438	0.000151049612129	0.000144982504221	-0.167774043412	523	0.000180362893022	0.000158711249457	-0.501832199662
chr22	2000000	4000000	182	8.15496843047	445849	268	0.000169431928675	0.000154926184001	-0.356482587575	302	0.000190927024104	0.000163295786596	-0.603146381788
chr22	4000000	4276343	183	0.0	127334	33	7.3049595474e-05	6.79109147679e-05	-0.277349878487	47	0.000104040332948	7.82442858525e-05	-0.99519845427
chr23	0	2000000	184	10.5062395012	444222	402	0.000255078730797	0.000233418141569	-0.354539700905	389	0.000246829916119	0.00022247055704	-0.411962953122
chr23	2000000	4000000	185	4.90866559934	813930	102	3.53233083996e-05	2.91761802871e-05	-0.715246568714	17	5.88721806661e-06	4.24839327318e-06	-1.04127114809
